what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1323148082743
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.2.R34x_v20080825,org.eclipse.equinox.p2.extensionlocation,1323148082744
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.garbagecollector,1323148082745
started,bundle,org.eclipse.equinox.p2.metadata,1.0.0.v20080514-1900,org.eclipse.equinox.p2.metadata,1323148082746
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.1.R34x_v20080819,org.eclipse.equinox.p2.metadata.generator,1323148082748
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1323148082749
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.2.R34x_v20080909,org.eclipse.equinox.p2.reconciler.dropins,1323148082750
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.2.R34x_v20080910,org.eclipse.equinox.p2.touchpoint.eclipse,1323148082752
started,bundle,org.eclipse.equinox.p2.ui,1.0.1.R34x_v20080909,org.eclipse.equinox.p2.ui,1323148082753
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk,1323148082755
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1323148082757
started,bundle,org.eclipse.equinox.preferences,3.2.201.R34x_v20080709,org.eclipse.equinox.preferences,1323148082758
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1323148082760
started,bundle,org.eclipse.equinox.security,1.0.1.R34x_v20080721,org.eclipse.equinox.security,1323148082762
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.2.R34x_v20080911,org.eclipse.equinox.simpleconfigurator.manipulator,1323148082763
started,bundle,org.eclipse.help,3.3.101.v20080702_34x,org.eclipse.help,1323148082765
started,bundle,org.eclipse.jface,3.4.1.M20080827-2000,org.eclipse.jface,1323148082767
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1323148082779
started,bundle,org.eclipse.team.core,3.4.1.r34x_20080827,org.eclipse.team.core,1323148082781
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1323148082783
started,bundle,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui,1323148082787
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1323148082788
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1323148082792
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1323148082795
started,bundle,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.ide,1323148082803
