what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323150032424
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323150054053
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1323150054103
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323150055506
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323150211842
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323150214743
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323150216509
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323150216688
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1323150217205
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1323150217206
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1323150217294
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1323150217439
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1323150217560
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1323150217663
